date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:40	215177/215177	---M--	200	added ('OK')	image/jpeg	etag:%2234889-610e6b40-bdca5f4c12b7deeb;;;%22	https://www.radixtouch.com/templates/admin/atrio/source/lighthr/assets/images/usrbig.jpg	C:/Users/Lalit/Desktop/demo/www.radixtouch.com/templates/admin/atrio/source/lighthr/assets/images/usrbig.jpg	(from https://www.radixtouch.com/templates/admin/atrio/source/lighthr/index.html)
14:38:40	92889/92889	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Aug%202021%2011:15:17%20GMT	https://www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/dashboard/dashboard2.html	C:/Users/Lalit/Desktop/demo/www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/dashboard/dashboard2.html	(from https://www.radixtouch.com/templates/admin/atrio/source/lighthr/index.html)
14:38:41	81183/81183	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Aug%202021%2011:15:17%20GMT	https://www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/employee/all-employees.html	C:/Users/Lalit/Desktop/demo/www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/employee/all-employees.html	(from https://www.radixtouch.com/templates/admin/atrio/source/lighthr/index.html)
14:38:41	61933/61933	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Aug%202021%2011:15:17%20GMT	https://www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/employee/add-employee.html	C:/Users/Lalit/Desktop/demo/www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/employee/add-employee.html	(from https://www.radixtouch.com/templates/admin/atrio/source/lighthr/index.html)
14:38:41	62195/62195	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Aug%202021%2011:15:17%20GMT	https://www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/employee/edit-employee.html	C:/Users/Lalit/Desktop/demo/www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/employee/edit-employee.html	(from https://www.radixtouch.com/templates/admin/atrio/source/lighthr/index.html)
14:38:41	81309/81309	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Aug%202021%2011:15:17%20GMT	https://www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/projects/all-projects.html	C:/Users/Lalit/Desktop/demo/www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/projects/all-projects.html	(from https://www.radixtouch.com/templates/admin/atrio/source/lighthr/index.html)
14:38:42	62276/62276	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Aug%202021%2011:15:17%20GMT	https://www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/projects/add-project.html	C:/Users/Lalit/Desktop/demo/www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/projects/add-project.html	(from https://www.radixtouch.com/templates/admin/atrio/source/lighthr/index.html)
14:38:42	62478/62478	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Aug%202021%2011:15:17%20GMT	https://www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/projects/edit-project.html	C:/Users/Lalit/Desktop/demo/www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/projects/edit-project.html	(from https://www.radixtouch.com/templates/admin/atrio/source/lighthr/index.html)
14:38:42	68387/68387	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Aug%202021%2011:15:17%20GMT	https://www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/attendance/today-attend.html	C:/Users/Lalit/Desktop/demo/www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/attendance/today-attend.html	(from https://www.radixtouch.com/templates/admin/atrio/source/lighthr/index.html)
14:38:42	76903/76903	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Aug%202021%2011:15:16%20GMT	https://www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/attendance/emp-attend.html	C:/Users/Lalit/Desktop/demo/www.radixtouch.com/templates/admin/atrio/source/lighthr/pages/attendance/emp-attend.html	(from https://www.radixtouch.com/templates/admin/atrio/source/lighthr/index.html)
